86        David Johnson SD, 10         65        68        66.5        1.5                
87        Luke Stocker TB, 6         66        96        80.0        10.4                
88        John Phillips SD, 10         66        86        77.3        8.4                
89        Lee Smith OAK, 6         67        82        75.3        6.2                
90        Craig Stevens TEN, 4         70        71        70.5        0.5                
91        Orson Charles NO, 11         71        87        80.7        6.9                
92        Trey Burton PHI, 8         72        91        83.3        8.2                
93        Blake Bell SF, 10         72        74        73.0        1.0                
94        CJ Uzomah CIN, 7         73        95        81.7        9.6                
95        Adrien Robinson NYG, 11         73        87        78.2        4.5                
96        Michael Hoomanawanui NE, 4         75        83        78.2        3.1                
97        Dominique Jones DEN, 7         76        88        82.0        6.0                
98        Gerald Christian ARI, 9         78        87        82.5        4.5                
99        James Hanna DAL, 6         79        92        85.5        6.5                
100        Derek Carrier WAS, 8         79        89        85.3        4.5                
101        Nick Boyle BAL, 9         81        90        85.5        4.5                
102        Brandon Williams CAR, 5         82        96        87.7        6.0                
103        Anthony McCoy SEA, 9         83        97        90.0        7.0                
104        Kellen Davis NYJ, 5         83        93        88.0        5.0                
105        Kennard Backman GB, 7         83        86        84.5        1.5                
106        Gerrell Robinson DEN, 7         88        90        89.0        1.0                
107        Richard Gordon KC, 9         89        92        90.5        1.5
