76        Antone Smith ATL, 10         52        94        73.6        12.1        61.0        -15.0
77        Bilal Powell NYJ, 5         52        88        72.0        7.5                
78        Theo Riddick DET, 9         53        88        70.9        8.0        68.0        -10.0
79        Karlos Williams BUF, 8         54        118        81.6        19.3                
80        Antonio Andrews TEN, 4         55        139        92.1        26.6                
81        Damien Williams MIA, 5         55        101        75.1        11.7        86.0        +5.0
82        Tyler Gaffney NE, 4         56        94        82.8        13.9                
83        Benny Cunningham STL, 6         56        86        74.3        6.8        98.0        +15.0
84        Zac Stacy NYJ, 5         57        104        80.1        11.9        99.0        +15.0
85        Jonathan Grimes HOU, 9         58        98        75.5        11.9                
86        Juwan Thompson DEN, 7         59        114        89.0        16.4        89.0        +3.0
87        Christine Michael SEA, 9         60        100        80.3        10.3        88.0        +1.0
88        Robert Turbin SEA, 9         62        88        73.0        6.7        75.0        -13.0
89        Mike Davis SF, 10         63        135        88.0        16.6                
90        Josh Robinson IND, 10         63        134        80.6        18.3                
91        Toby Gerhart JAC, 8         64        107        79.0        9.3        100.0        +9.0
92        Ahmad Bradshaw FA         64        86        77.3        9.6        52.0        -40.0
93        Ka'Deem Carey CHI, 7         65        109        87.2        11.3        97.0        +4.0
94        Mike Tolbert CAR, 5         66        111        84.0        11.4        94.0        0.0
95        Matt Asiata MIN, 5         66        104        91.0        9.4        77.0        -18.0
96        Pierre Thomas FA         66        98        81.2        9.4                
97        Marcel Reece OAK, 6         68        101        86.4        8.0                
98        Travaris Cadet NE, 4         69        127        89.8        15.0        90.0        -8.0
99        Ryan Williams DAL, 6         69        125        85.0        15.0        96.0        -3.0
100        Bernard Pierce JAC, 8         69        121        90.9        16.7                
101        Jacquizz Rodgers CHI, 7         69        107        84.9        11.8        84.0        -17.0
102        Dexter McCluster TEN, 4         69        105        82.1        8.8                
103        Bryce Brown BUF, 8         72        131        94.3        17.0                
104        Fozzy Whittaker CAR, 5         72        120        97.1        12.4        87.0        -17.0
105        Jeremy Langford CHI, 7         72        99        85.9        8.9        91.0        -14.0
106        Thomas Rawls SEA, 9         74        141        98.9        21.0                
107        Kendall Hunter SF, 10         74        111        91.9        10.0        93.0        -14.0
108        Bobby Rainey TB, 6         74        105        84.1        7.1        58.0        -50.0
109        Anthony Dixon BUF, 8         75        135        102.2        15.7                
110        Kenny Hilliard HOU, 9         78        119        103.6        13.7                
111        Ben Tate FA         78        102        90.0        9.8                
112        LaMichael James MIA, 5         79        126        111.0        14.5                
113        Dri Archer PIT, 11         80        113        98.0        10.4        85.0        -28.0
114        Donald Brown SD, 10         82        124        98.8        12.6                
115        Robert Hughes ARI, 9         82        115        103.0        12.6                
116        Vick Ballard IND, 10         84        135        109.6        15.8                
117        Gus Johnson DAL, 6         86        126        98.8        16.4                
118        Chris Thompson WAS, 8         87        120        102.4        12.1                
119        Darrel Young WAS, 8         88        111        99.3        7.4                
120        Josh Harris PIT, 11         89        120        103.3        10.1                
121        Rex Burkhead CIN, 7         90        116        105.5        7.4                
122        Mike James TB, 6         91        140        117.3        14.8                
123        Kerwynn Williams ARI, 9         92        126        105.2        8.7                
124        Jordan Todman CAR, 5         93        136        114.8        14.8                
125        Bruce Miller SF, 10         94        134        107.8        12.9                
126        Storm Johnson JAC, 8         94        125        114.3        10.5                
127        Stepfan Taylor ARI, 9         94        120        109.4        9.3                
128        Ray Agnew DAL, 6         94        119        106.5        12.5                
129        Jerome Smith ATL, 10         95        144        125.0        21.5                
130        Kyle Juszczyk BAL, 9         95        114        101.1        6.0                
131        John Crockett GB, 7         96        145        120.5        24.5                
132        Fitzgerald Toussaint BAL, 9         99        137        114.4        14.9                
133        Terron Ward ATL, 10         99        113        106.0        7.0                
134        John Kuhn GB, 7         100        109        103.9        2.8                
135        Erik Lorig NO, 11         106        121        111.2        5.9                
136        Cedric Peerman CIN, 7         108        143        120.8        11.7                
137        Anthony Sherman KC, 9         108        138        118.4        10.4                
138        Shonn Greene FA         108        112        110.0        2.0                
139        Chase Reynolds STL, 6         110        132        121.0        11.0                
140        Lache Seastrunk FA         110        130        119.5        7.6                
141        Orleans Darkwa NYG, 11         110        129        117.3        8.3                
142        Kenjon Barner PHI, 8         111        142        123.0        13.6                
143        Trey Watts STL, 6         112        139        125.5        13.5                
144        Edwin Baker NO, 11         112        137        124.7        10.2                
145        Charcandrick West KC, 9         112        122        118.3        4.5                
146        Zurlon Tipton IND, 10         113        132        125.3        8.7                
147        Marion Grice ARI, 9         114        130        122.0        8.0                
148        Joe Banyard MIN, 5         114        128        120.8        5.3                
149        Will Johnson PIT, 11         115        140        126.8        8.9        81.0        -68.0
150        George Winn DET, 9         115        131        123.2        5.5                
151        Mike Gillislee MIA, 5         116        131        123.7        6.1                
152        Jorvorskie Lane TB, 6         117        138        126.3        8.7                
153        Patrick DiMarco ATL, 10         118        125        121.3        2.9                
154        James Develin NE, 4         120        143        131.5        11.5                
155        Jeremy Stewart DEN, 7         121        140        130.5        9.5                
156        Matthew Tucker PHI, 8         123        133        128.0        5.0                
157        Shaun Draughn CLE, 11         124        134        131.0        4.1                
158        Tommy Bohanon NYJ, 5         126        137        130.0        4.2                
159        Rajion Neal GB, 7         128        139        132.3        4.8                
160        Jay Prosch HOU, 9         128        132        130.0        2.0                
161        Derrick Coleman SEA, 9         129        136        133.3        3.1                
162        Henry Hynoski NYG, 11         138        145        141.5        3.5        
